species	tree_id	logger
Sorbus	79	5
Fraxinus	82	5
Pinus	109	4
Fagus	113	5
Pinus	132	5
Pinus	139	5
Picea	140	5
Fagus	144	4
Quercus	167	4
Pinus	169	4
Carpinus	172	4
Pinus	173	4
Abies	175	4
Pinus	181	5
Picea	185	5
Abies	189	5
Pinus	190	5
Fagus	203	5
Pinus	217	4
Fagus	220	4
Abies	221	4
Quercus	233	4
Carpinus	235	4
Abies	239	4
Fraxinus	242	5
Fraxinus	243	5
Carpinus	244	5
Pinus	245	5
Pinus	247	5
Fagus	249	5
Pinus	255	5
Quercus	257	5
Quercus	259	5
Abies	266	4
Carpinus	268	4
Fagus	270	4
Abies	272	4
Quercus	274	3
Acer	277	3
Picea	278	3
Fagus	279	3
Acer	286	3
Carpinus	287	3
Quercus	296	4
Sorbus	300	5
Pinus	302	5
Fagus	303	5
Picea	322	2
Picea	339	2
Acer	342	2
Quercus	343	2
Acer	377	2
Fagus	378	1
Picea	383	2
Quercus	389	2
Quercus	398	1
Picea	401	1
Fraxinus	442	1
Picea	444	1
Fagus	453	1
Sorbus	465	1
Picea	467	1
Carpinus	469	1
Picea	494	1
Picea	502	1
Picea	507	1
Carpinus	511	1
Fagus	525	1
Quercus	528	1
Fagus	553	1
Acer	559	1
Acer	605	3
Quercus	216	4
Quercus	214	4
Abies	336	2
Abies	226	3
Abies	307	5
Acer	236	4
Picea	337	2
Abies	290	3
Abies	234	4
